season,week,player_display_name,team_abbr,efficiency,rush_attempts,rush_yards,rush_touchdowns,player_gsis_id
2016,0,Latavius Murray,LV,3.9130710659898496,195,788,12,00-0030513
2016,0,Tim Hightower,NO,3.7370437956204388,133,548,4,00-0026289
2016,0,Matt Asiata,MIN,3.9994527363184083,121,402,6,00-0028198
2016,0,David Johnson,ARI,3.8692009685230007,293,1239,16,00-0032187
2016,0,Jonathan Stewart,CAR,4.379927184466017,218,824,9,00-0026153
2016,0,Jay Ajayi,MIA,3.907610062893079,260,1272,8,00-0031590
2016,0,LeSean McCoy,BUF,3.9576400947119184,234,1267,13,00-0027029
2016,0,Paul Perkins,NYG,3.6825657894736845,112,456,0,00-0032417
2016,0,C.J. Anderson,DEN,4.113478260869565,110,437,4,00-0029854
2016,0,LeGarrette Blount,NE,4.074013781223085,299,1161,18,00-0027325
2016,0,Carlos Hyde,SF,3.8389676113360323,217,988,6,00-0031045
2016,0,Bilal Powell,NYJ,3.2576038781163428,131,722,3,00-0028064
2016,0,Rashad Jennings,NYG,4.270439189189188,180,592,3,00-0027155
2016,0,Jeremy Hill,CIN,4.382038140643623,222,839,9,00-0031301
2016,0,Doug Martin,TB,5.17163895486936,144,421,3,00-0029613
2016,0,Melvin Gordon,LAC,4.083901705115347,254,997,10,00-0032144
2016,0,Jerick McKinnon,MIN,4.868923933209649,159,539,2,00-0031376
2016,0,Devonta Freeman,ATL,4.047340129749766,227,1079,11,00-0031285
2016,0,Devontae Booker,DEN,4.505098039215685,174,612,4,00-0032972
2016,0,Dwayne Washington,DET,5.35436090225564,90,266,1,00-0032450
2016,0,Giovani Bernard,CIN,4.864451038575669,91,337,2,00-0030456
2016,0,T.J. Yeldon,JAX,4.520668103448276,130,464,1,00-0032209
2016,0,Kenneth Dixon,BAL,4.0829319371727735,88,382,2,00-0032411
2016,0,Mark Ingram,NO,3.456490891658675,205,1043,6,00-0027966
2016,0,Matt Forte,NYJ,4.2107011070110705,218,813,7,00-0026184
2016,0,Charcandrick West,KC,4.90839590443686,88,293,1,00-0030668
2016,0,Tevin Coleman,ATL,4.342923076923077,118,520,8,00-0032058
2016,0,DeAndre Washington,LV,3.1377730192719486,87,467,2,00-0032940
2016,0,Isaiah Crowell,CLE,3.481114616193482,197,951,7,00-0030656
2016,0,Ezekiel Elliott,DAL,3.6513059472716125,322,1631,15,00-0033045
2016,0,Le'Veon Bell,PIT,3.9478785488958983,261,1268,7,00-0030496
2016,0,Jacquizz Rodgers,TB,3.6650178571428587,129,560,2,00-0028083
2016,0,Terrance West,BAL,4.142441860465115,193,774,5,00-0031375
2016,0,Todd Gurley,LAR,4.7833785310734465,278,885,6,00-0032241
2016,0,Darren Sproles,PHI,3.9798858447488596,94,438,2,00-0023564
2016,0,DeAngelo Williams,PIT,4.957172011661808,98,343,4,00-0024242
2016,0,Chris Ivory,JAX,4.812850574712643,118,435,3,00-0027531
2016,0,Jordan Howard,CHI,3.6166412795125655,252,1313,6,00-0032780
2016,0,DeMarco Murray,TEN,4.187264224473889,293,1283,9,00-0028009
2016,0,Matt Jones,WAS,3.8946086956521753,99,460,3,00-0031939
2016,0,Theo Riddick,DET,4.525714285714286,92,357,1,00-0030107
2016,0,Frank Gore,IND,3.7029941291585113,263,1022,4,00-0023500
2016,0,Alfred Blue,HOU,3.7713333333333328,100,420,1,00-0031075
2016,0,Justin Forsett,DEN,5.292508591065293,87,291,1,00-0026373
2016,0,Ryan Mathews,PHI,4.391981845688351,155,661,8,00-0027864
